city_id,date,hour,temp,wind_speed,description,precip,humidity,visibility,pressure,chanceofrain,chanceoffog,chanceofsnow,chanceofthunder
C-927ceb5e,2019-02-16,0,7,6,Partly cloudy,0.0,93,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,100,7,6,Partly cloudy,0.0,93,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,200,5,6,Partly cloudy,0.0,93,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,300,5,6,Partly cloudy,0.0,94,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,400,5,4,Partly cloudy,0.0,94,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,500,3,3,Partly cloudy,0.0,94,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,600,3,2,Partly cloudy,0.0,94,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,700,5,3,Partly cloudy,0.0,93,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,800,9,4,Partly cloudy,0.0,92,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,900,10,4,Partly cloudy,0.0,91,6,1023,0,0,0,0
C-927ceb5e,2019-02-16,1000,12,5,Partly cloudy,0.0,89,6,1022,0,0,0,0
C-927ceb5e,2019-02-16,1100,16,6,Cloudy,0.0,88,6,1022,0,0,0,0
C-927ceb5e,2019-02-16,1200,19,7,Cloudy,0.0,86,6,1021,0,0,0,0
C-927ceb5e,2019-02-16,1300,19,7,Cloudy,0.0,86,6,1020,0,0,0,0
C-927ceb5e,2019-02-16,1400,21,7,Cloudy,0.0,87,6,1019,0,0,0,0
C-927ceb5e,2019-02-16,1500,23,7,Cloudy,0.0,87,6,1019,0,0,0,0
C-927ceb5e,2019-02-16,1600,21,8,Cloudy,0.0,88,6,1018,0,0,0,0
C-927ceb5e,2019-02-16,1700,21,9,Partly cloudy,0.0,89,6,1018,0,0,0,0
C-927ceb5e,2019-02-16,1800,21,9,Partly cloudy,0.0,91,6,1017,0,0,0,0
C-927ceb5e,2019-02-16,1900,21,9,Partly cloudy,0.0,90,6,1016,0,0,0,0
C-927ceb5e,2019-02-16,2000,21,9,Light snow,0.0,89,6,1016,0,0,0,0
C-927ceb5e,2019-02-16,2100,23,9,Light snow,0.0,88,6,1015,0,0,0,0
C-927ceb5e,2019-02-16,2200,23,9,Light snow,0.0,89,4,1015,0,0,0,0
C-927ceb5e,2019-02-16,2300,23,9,Heavy snow,0.0,90,3,1015,0,0,0,0
C-927ceb5e,2019-02-17,0,23,9,Heavy snow,0.0,91,1,1015,0,0,0,0
C-927ceb5e,2019-02-17,100,23,9,Heavy snow,0.0,93,1,1015,0,0,0,0
C-927ceb5e,2019-02-17,200,21,9,Heavy snow,0.1,94,1,1014,0,0,0,0
C-927ceb5e,2019-02-17,300,21,9,Heavy snow,0.1,95,1,1013,0,0,0,0
C-927ceb5e,2019-02-17,400,21,9,Heavy snow,0.0,95,1,1013,0,0,0,0
C-927ceb5e,2019-02-17,500,21,9,Heavy snow,0.1,95,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,600,21,9,Heavy snow,0.1,95,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,700,23,9,Heavy snow,0.1,95,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,800,23,9,Heavy snow,0.0,95,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,900,23,9,Heavy snow,0.0,95,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,1000,23,9,Heavy snow,0.0,94,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,1100,25,9,Heavy snow,0.0,94,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,1200,25,8,Heavy snow,0.0,93,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,1300,27,8,Heavy snow,0.0,92,1,1012,0,0,0,0
C-927ceb5e,2019-02-17,1400,27,9,Heavy snow,0.0,90,1,1013,0,0,0,0
C-927ceb5e,2019-02-17,1500,27,9,Heavy snow,0.0,89,1,1013,0,0,0,0
C-927ceb5e,2019-02-17,1600,25,8,Heavy snow,0.0,91,1,1013,0,0,0,0
C-927ceb5e,2019-02-17,1700,25,7,Heavy snow,0.0,92,1,1014,0,0,0,0
C-927ceb5e,2019-02-17,1800,25,7,Heavy snow,0.0,94,1,1015,0,0,0,0
C-927ceb5e,2019-02-17,1900,23,7,Heavy snow,0.0,94,1,1016,0,0,0,0
C-927ceb5e,2019-02-17,2000,23,7,Heavy snow,0.0,95,1,1017,0,0,0,0
C-927ceb5e,2019-02-17,2100,23,6,Heavy snow,0.0,95,1,1018,0,0,0,0
C-927ceb5e,2019-02-17,2200,23,7,Heavy snow,0.0,95,3,1019,0,0,0,0
C-927ceb5e,2019-02-17,2300,21,7,Overcast,0.0,94,4,1019,0,0,0,0
C-927ceb5e,2019-02-18,0,19,7,Overcast,0.0,93,6,1020,0,0,0,0
C-927ceb5e,2019-02-18,100,18,7,Overcast,0.0,93,6,1021,0,0,0,0
C-927ceb5e,2019-02-18,200,16,7,Light snow,0.0,94,6,1023,0,0,0,0
C-927ceb5e,2019-02-18,300,14,7,Light snow,0.0,94,6,1024,0,0,0,0
C-927ceb5e,2019-02-18,400,14,7,Light snow,0.0,94,6,1025,0,0,0,0
C-927ceb5e,2019-02-18,500,12,7,Light snow,0.0,94,6,1026,0,0,0,0
C-927ceb5e,2019-02-18,600,12,7,Light snow,0.0,95,6,1027,0,0,0,0
C-927ceb5e,2019-02-18,700,12,7,Light snow,0.0,94,6,1028,0,0,0,0
C-927ceb5e,2019-02-18,800,14,7,Partly cloudy,0.0,93,6,1029,0,0,0,0
C-927ceb5e,2019-02-18,900,16,7,Partly cloudy,0.0,92,6,1030,0,0,0,0
C-927ceb5e,2019-02-18,1000,18,7,Partly cloudy,0.0,90,6,1031,0,0,0,0
C-927ceb5e,2019-02-18,1100,19,7,Cloudy,0.0,88,6,1032,0,0,0,0
C-927ceb5e,2019-02-18,1200,21,8,Cloudy,0.0,86,6,1033,0,0,0,0
C-927ceb5e,2019-02-18,1300,23,7,Cloudy,0.0,85,6,1033,0,0,0,0
